x,y,z,faceIndex,nodeIndex,nodeCount
-0.012319087961459196,0.5756035558656752,0.16935331846406337,1555341,17965,4
-0.012305366918610616,0.5720991495369728,0.18083850004651209,1555341,17964,4
0.0,0.5721001270684929,0.1808354075069765,1555341,468,4
0.0,0.5756045530177997,0.1693499292742071,1555341,467,4
-0.012312819436300693,0.5872999289049613,0.12279573896608711,1555342,17970,4
-0.01231044556000338,0.5847263796289665,0.13451788344306426,1555342,17969,4
0.0,0.5847270756295881,0.13451485801081592,1555342,464,4
0.0,0.5873007561042595,0.12279178262149752,1555342,463,4
-0.012308172993622968,0.5997251180874489,0.018159921117546215,1555343,17981,4
-0.012316923762002219,0.5992839009751193,0.029305392542046067,1555343,17979,4
0.0,0.5992984994540042,0.029005319377294975,1555343,455,4
0.0,0.5997306485563099,0.017976350637098393,1555343,454,4
-0.01234846021656466,0.5968464105304413,-0.06143583837572282,1555344,17989,4
-0.012323980803014223,0.5979437222005223,-0.049631694319100174,1555344,17987,4
0.0,0.5979581781423028,-0.04945722589003527,1555344,448,4
0.0,0.5968563589339401,-0.06133911313444064,1555344,447,4
-0.01236135957729445,0.587741307993056,-0.12066546680227763,1555345,17995,4
-0.012345764481120014,0.5900402687337577,-0.10886910155133536,1555345,17993,4
0.0,0.5900408165428145,-0.10886613253665621,1555345,443,4
0.0,0.5877415804114322,-0.12066413989032501,1555345,442,4
-0.012524518125428763,0.4650764472585601,-0.3790829700808989,1555354,18024,4
-0.012591038487501649,0.47259467483564416,-0.3696677877730108,1555354,18023,4
0.0,0.47259541116398385,-0.369666846426272,1555354,419,4
0.0,0.4650772006705757,-0.3790820457584625,1555354,418,4
-0.012549366368294734,0.40734756726839244,-0.44053145113660436,1555355,18033,4
-0.012539478116829983,0.41611828923169863,-0.4322563699552436,1555355,18031,4
0.0,0.416118069653224,-0.4322565813357555,1555355,412,4
0.0,0.4073464513268414,-0.44053248301507714,1555355,411,4
-0.013050768784322209,0.34150994261934026,-0.49332642245488423,1555357,18041,4
-0.013112127215851643,0.35136478309639824,-0.4863566481499158,1555357,18043,4
0.0,0.35136760217196145,-0.4863546115170763,1555357,405,4
0.0,0.341515594128853,-0.49332251009539035,1555357,404,4
-0.012576089117432687,0.2360709211209364,-0.5516072155085651,1555358,18053,4
-0.012542999191890836,0.24711469280460477,-0.5467488716038523,1555358,18052,4
0.0,0.24710965102465737,-0.5467511503147222,1555358,395,4
